resume_id,jd_id,resume_category,graph_score,coverage,exact_matches,partial_matches,no_matches,sbert_score,structural_score,yoe_score,edu_score,section_score,resume_yoe,required_yoe,resume_edu_rank,required_edu_rank,label
r_backend_senior,Senior Backend Engineer,backend,0.8333,0.8667,12,1,2,0.6161,1.0,1.0,1.0,1.0,5,4,3,3,1
r_backend_senior,Backend Developer,backend,0.8375,0.875,6,1,1,0.6029,1.0,1.0,1.0,1.0,5,2,3,3,1
r_backend_senior,Junior Backend Developer,backend,0.925,1.0,3,1,0,0.4918,1.0,1.0,1.0,1.0,5,1,3,3,1
r_backend_senior,Senior Frontend Engineer,backend,0.43,0.7,2,4,3,0.4983,1.0,1.0,1.0,1.0,5,0,3,3,0
r_backend_senior,Frontend Developer,backend,0.5,0.6,2,1,2,0.512,1.0,1.0,1.0,1.0,5,0,3,3,0
r_backend_senior,Senior DevOps Engineer,backend,0.4231,0.4615,5,1,7,0.4894,1.0,1.0,1.0,1.0,5,0,3,3,0
r_backend_senior,DevOps Engineer,backend,0.8,0.8,4,0,1,0.3912,1.0,1.0,1.0,1.0,5,0,3,3,0
r_backend_senior,Senior ML Engineer,backend,0.0909,0.0909,1,0,10,0.3547,0.76,1.0,0.2,1.0,5,0,3,5,0
r_backend_senior,Data Scientist,backend,0.425,0.5,1,1,2,0.2577,1.0,1.0,1.0,1.0,5,0,3,3,0
r_backend_senior,Data Engineer,backend,0.2125,0.25,1,1,6,0.3623,1.0,1.0,1.0,1.0,5,0,3,3,0
r_backend_senior,Senior Mobile Developer,backend,0.15,0.2,1,1,8,0.371,1.0,1.0,1.0,1.0,5,0,3,3,0
r_backend_senior,Full Stack Developer,backend,0.8889,1.0,7,2,0,0.6064,1.0,1.0,1.0,1.0,5,0,3,3,1
r_backend_mid,Senior Backend Engineer,backend,0.3667,0.4,5,1,9,0.5435,0.88,0.7,1.0,1.0,3,4,3,3,1
r_backend_mid,Backend Developer,backend,0.6875,0.75,5,1,2,0.611,1.0,1.0,1.0,1.0,3,2,3,3,1
r_backend_mid,Junior Backend Developer,backend,0.75,0.75,3,0,1,0.5249,1.0,1.0,1.0,1.0,3,1,3,3,1
r_backend_mid,Senior Frontend Engineer,backend,0.1,0.1,1,0,9,0.4044,1.0,1.0,1.0,1.0,3,0,3,3,0
r_backend_mid,Frontend Developer,backend,0.2,0.2,1,0,4,0.4871,1.0,1.0,1.0,1.0,3,0,3,3,0
r_backend_mid,Senior DevOps Engineer,backend,0.1154,0.1538,1,1,11,0.3943,1.0,1.0,1.0,1.0,3,0,3,3,0
r_backend_mid,DevOps Engineer,backend,0.3,0.4,1,1,3,0.2802,1.0,1.0,1.0,1.0,3,0,3,3,0
r_backend_mid,Senior ML Engineer,backend,0.0909,0.0909,1,0,10,0.3956,0.76,1.0,0.2,1.0,3,0,3,5,0
r_backend_mid,Data Scientist,backend,0.5,0.5,2,0,2,0.3545,1.0,1.0,1.0,1.0,3,0,3,3,0
r_backend_mid,Data Engineer,backend,0.25,0.25,2,0,6,0.3808,1.0,1.0,1.0,1.0,3,0,3,3,0
r_backend_mid,Senior Mobile Developer,backend,0.1,0.1,1,0,9,0.3796,1.0,1.0,1.0,1.0,3,0,3,3,0
r_backend_mid,Full Stack Developer,backend,0.4444,0.4444,4,0,5,0.548,1.0,1.0,1.0,1.0,3,0,3,3,1
r_backend_junior,Senior Backend Engineer,backend,0.1333,0.1333,2,0,13,0.5435,0.64,0.1,1.0,1.0,1,4,3,3,1
r_backend_junior,Backend Developer,backend,0.4625,0.5,3,1,4,0.5833,0.88,0.7,1.0,1.0,1,2,3,3,1
r_backend_junior,Junior Backend Developer,backend,0.675,0.75,2,1,1,0.5942,1.0,1.0,1.0,1.0,1,1,3,3,1
r_backend_junior,Senior Frontend Engineer,backend,0.1,0.1,1,0,9,0.4355,1.0,1.0,1.0,1.0,1,0,3,3,0
r_backend_junior,Frontend Developer,backend,0.2,0.2,1,0,4,0.4943,1.0,1.0,1.0,1.0,1,0,3,3,0
r_backend_junior,Senior DevOps Engineer,backend,0.0,0.0,0,0,13,0.3832,1.0,1.0,1.0,1.0,1,0,3,3,0
r_backend_junior,DevOps Engineer,backend,0.0,0.0,0,0,5,0.2556,1.0,1.0,1.0,1.0,1,0,3,3,0
r_backend_junior,Senior ML Engineer,backend,0.0909,0.0909,1,0,10,0.4371,0.76,1.0,0.2,1.0,1,0,3,5,0
